completed: 95700, symbols: ZBH, ZION
bh: 1.067911, wave: 1.075411, delta: -0.007499

delta returns:
AMZN, INTU, -0.358902
 PHM, WYNN, -0.358804
 APD,   MU, -0.358641
 CSX,  PHM, -0.358216
 CCI,   MU, -0.358165
QCOM,  ROK, -0.357969
  HD,   MU, -0.357948
ADSK,  PGR, -0.357511
 AME,  URI, -0.357368
 CAT, QCOM, -0.356931
 CSX, QCOM, -0.356799
 KMX,  PHM, -0.356786
 BBY,  STX, -0.356741
 MCO,  NRG, -0.356184
 PHM,  PKI, -0.355919
QCOM,  TGT, -0.355577
FSLR,  TEL, -0.355550
  MU, NDAQ, -0.355479
MNST,   MU, -0.355099
FSLR,  WMT, -0.354666
   A, NVDA, -0.354544
ROST,  URI, -0.354478
AMAT,  TXN, -0.354381
 MCO,  PHM, -0.354145
 CSX,  DHI, -0.353994
 AMP, LRCX, -0.353956
 AXP,  URI, -0.353916
KLAC, SWKS, -0.353537
 DHR,  PHM, -0.353474
 DOW,   SE, -0.353458
 NSC,  PHM, -0.353435
  DG, NVDA, -0.353296
ADSK, QCOM, -0.353200
 AES,  CRM, -0.353126
INTC,   MU, -0.352958
ALLE,  URI, -0.352796
 CAT, LRCX, -0.352728
  EA, QCOM, -0.352632
QCOM, SCHW, -0.352168
FSLR,  UNH, -0.352084
 URI,  WMT, -0.351831
COST, FSLR, -0.351734
 PVH,  THC, -0.351600
 AVY,  PHM, -0.351538
HBAN,  THC, -0.351182
 LOW, QRVO, -0.351100
CTAS, QCOM, -0.350858
 NRG, SWKS, -0.350824
 DHI,   EL, -0.350660
INTU,  PHM, -0.350552
 APD, FSLR, -0.350526
 GWW,   MU, -0.350484
 DHI, GRMN, -0.350442
 CCI,  URI, -0.350372
 DAL,   IR, -0.350230
  DE,  PHM, -0.350206
  DE, KLAC, -0.350151
   A,  CMG, -0.349858
 KMX,   MU, -0.349635
 PHM,  UNH, -0.349631
ADBE, MSFT, -0.349568
NVDA,  PHM, -0.349427
 AES, KLAC, -0.349287
  MU,  NEM, -0.349008
 CMG, KLAC, -0.348796
GOOG, QRVO, -0.348616
  DG,  DHI, -0.348587
  CI, QCOM, -0.348523
 CRM,  TMO, -0.348518
 NEM,  PHM, -0.348270
AKAM,  URI, -0.348225
 AMP, VRTX, -0.348151
 ABT,  ETN, -0.347703
 AMP, QRVO, -0.347674
 PHM, XLNX, -0.347422
  FB, NFLX, -0.347420
 CMG,   DG, -0.347217
ADBE,  LLY, -0.347211
 AME, FSLR, -0.347171
LRCX, VRSN, -0.347075
GRMN,  NRG, -0.346998
 DHI, MSFT, -0.346995
SWKS,  TGT, -0.346980
 PHM,  SHW, -0.346938
 NRG,  PGR, -0.346849
 NKE,  PHM, -0.346631
COST,  URI, -0.346543
NTAP,  PHM, -0.346131
  BA,  GPS, -0.346077
   A,  DHI, -0.345602
LRCX, NTAP, -0.345384
 BBY, WYNN, -0.345351
 DHI,  ZTS, -0.345215
QCOM,  SYK, -0.345211
  AN, QCOM, -0.344883
  MS, QCOM, -0.344849
 LOW, VRTX, -0.344827
LRCX,  ROP, -0.344607
 DHR, QRVO, -0.344510
QRVO, VRSN, -0.344464
 NRG,  SHW, -0.344274
NFLX,  NSC, -0.344249
QCOM,  ROP, -0.344239
 NKE,  NRG, -0.344226
 CAT, VRTX, -0.344200
  MU,  WMT, -0.344084
ADSK,  TXN, -0.343926
  FB, XLNX, -0.343909
GRMN,  PHM, -0.343893
ANTM, NFLX, -0.343691
  PH,  PHM, -0.343672
 AMP,  DHI, -0.343513
 DHI,  TXN, -0.343464
 AME,  PHM, -0.343312
 AES,  URI, -0.343239
  AN,   MU, -0.343196
 NRG,  ZTS, -0.342933
 ETN, XLNX, -0.342926
KLAC,  PKI, -0.342912
NFLX,  URI, -0.342838
ADSK,  CSX, -0.342610
LRCX,   PH, -0.342608
  FB, MCHP, -0.342607
 KSU, SWKS, -0.342511
 KSU,  TGT, -0.342439
 ECL, QCOM, -0.342221
 GPS,  HES, -0.342117
GOOG, QRVO, -0.341947
 KMX, WYNN, -0.341822
  BA,  KSS, -0.341756
 MCO, QCOM, -0.341509
 CMG, SWKS, -0.341421
  MA, MCHP, -0.341361
FSLR,   GM, -0.341303
 AXP,   MU, -0.340989
QRVO,  ROP, -0.340985
QCOM,  XYL, -0.340782
QCOM, TSCO, -0.340763
 SRE,  THC, -0.340718
 CMG,   EL, -0.340565
 GPS,  KSS, -0.340542
 CAT,  PHM, -0.340431
AMGN,  URI, -0.340352
 CRM, CTAS, -0.340229
  GM, QCOM, -0.340142
  CI,   MU, -0.340122
 PHM,  TXN, -0.340108
 AMP, SWKS, -0.339746
 ETN,  THC, -0.339634
 BBY,  TGT, -0.339334
QCOM, VRSN, -0.339280
  DE, LRCX, -0.339248
GRMN, NVDA, -0.339190
 BBY,  CMG, -0.339076
 BBY,  HUM, -0.338728
 PKI, XLNX, -0.338571
 BBY,  KSU, -0.338436
 HES, QCOM, -0.338414
